Code,Sektor,Sub_Sektor,Ticker_YF,Link
MLBI,Barang-Konsumen-Primer,Alkohol,MLBI.JK,https://stockbit.com/symbol/MLBI
DLTA,Barang-Konsumen-Primer,Alkohol,DLTA.JK,https://stockbit.com/symbol/DLTA
WINE,Barang-Konsumen-Primer,Alkohol,WINE.JK,https://stockbit.com/symbol/WINE
UNVR,Barang-Konsumen-Primer,Perawatan Tubuh,UNVR.JK,https://stockbit.com/symbol/UNVR
NANO,Barang-Konsumen-Primer,Perawatan Tubuh,NANO.JK,https://stockbit.com/symbol/NANO
MBTO,Barang-Konsumen-Primer,Perawatan Tubuh,MBTO.JK,https://stockbit.com/symbol/MBTO
MRAT,Barang-Konsumen-Primer,Perawatan Tubuh,MRAT.JK,https://stockbit.com/symbol/MRAT
KINO,Barang-Konsumen-Primer,Perawatan Tubuh,KINO.JK,https://stockbit.com/symbol/KINO
VICI,Barang-Konsumen-Primer,Perawatan Tubuh,VICI.JK,https://stockbit.com/symbol/VICI
UCID,Barang-Konsumen-Primer,Perawatan Tubuh,UCID.JK,https://stockbit.com/symbol/UCID
MSJA,Barang-Konsumen-Primer,Perawatan Tubuh,MSJA.JK,https://stockbit.com/symbol/MSJA
EURO,Barang-Konsumen-Primer,Perawatan Tubuh,EURO.JK,https://stockbit.com/symbol/EURO
TCID,Barang-Konsumen-Primer,Perawatan Tubuh,TCID.JK,https://stockbit.com/symbol/TCID
FLMC,Barang-Konsumen-Primer,Perawatan Tubuh,FLMC.JK,https://stockbit.com/symbol/FLMC
DMND,Barang-Konsumen-Primer,Ritel Distributor Makanan,DMND.JK,https://stockbit.com/symbol/DMND
PCAR,Barang-Konsumen-Primer,Ritel Distributor Makanan,PCAR.JK,https://stockbit.com/symbol/PCAR
KMDS,Barang-Konsumen-Primer,Ritel Distributor Makanan,KMDS.JK,https://stockbit.com/symbol/KMDS
BUAH,Barang-Konsumen-Primer,Ritel Distributor Makanan,BUAH.JK,https://stockbit.com/symbol/BUAH
WICO,Barang-Konsumen-Primer,Ritel Distributor Makanan,WICO.JK,https://stockbit.com/symbol/WICO
GGRM,Barang-Konsumen-Primer,Rokok,GGRM.JK,https://stockbit.com/symbol/GGRM
HMSP,Barang-Konsumen-Primer,Rokok,HMSP.JK,https://stockbit.com/symbol/HMSP
WIIM,Barang-Konsumen-Primer,Rokok,WIIM.JK,https://stockbit.com/symbol/WIIM
ITIC,Barang-Konsumen-Primer,Rokok,ITIC.JK,https://stockbit.com/symbol/ITIC
INDF,Barang-Konsumen-Primer,Makanan Olahan,INDF.JK,https://stockbit.com/symbol/INDF
ICBP,Barang-Konsumen-Primer,Makanan Olahan,ICBP.JK,https://stockbit.com/symbol/ICBP
MYOR,Barang-Konsumen-Primer,Makanan Olahan,MYOR.JK,https://stockbit.com/symbol/MYOR
JELI,Barang-Konsumen-Primer,Makanan Olahan,JELI.JK,https://stockbit.com/symbol/JELI
COCO,Barang-Konsumen-Primer,Makanan Olahan,COCO.JK,https://stockbit.com/symbol/COCO
HOKI,Barang-Konsumen-Primer,Makanan Olahan,HOKI.JK,https://stockbit.com/symbol/HOKI
BEEF,Barang-Konsumen-Primer,Makanan Olahan,BEEF.JK,https://stockbit.com/symbol/BEEF
BRRC,Barang-Konsumen-Primer,Makanan Olahan,BRRC.JK,https://stockbit.com/symbol/BRRC
GOOD,Barang-Konsumen-Primer,Makanan Olahan,GOOD.JK,https://stockbit.com/symbol/GOOD
PSDN,Barang-Konsumen-Primer,Makanan Olahan,PSDN.JK,https://stockbit.com/symbol/PSDN
NASI,Barang-Konsumen-Primer,Makanan Olahan,NASI.JK,https://stockbit.com/symbol/NASI
AISA,Barang-Konsumen-Primer,Makanan Olahan,AISA.JK,https://stockbit.com/symbol/AISA
ROTI,Barang-Konsumen-Primer,Makanan Olahan,ROTI.JK,https://stockbit.com/symbol/ROTI
GULA,Barang-Konsumen-Primer,Makanan Olahan,GULA.JK,https://stockbit.com/symbol/GULA
TBLA,Barang-Konsumen-Primer,Makanan Olahan,TBLA.JK,https://stockbit.com/symbol/TBLA
MAXI,Barang-Konsumen-Primer,Makanan Olahan,MAXI.JK,https://stockbit.com/symbol/MAXI
TAYS,Barang-Konsumen-Primer,Makanan Olahan,TAYS.JK,https://stockbit.com/symbol/TAYS
IBOS,Barang-Konsumen-Primer,Makanan Olahan,IBOS.JK,https://stockbit.com/symbol/IBOS
SKBM,Barang-Konsumen-Primer,Makanan Olahan,SKBM.JK,https://stockbit.com/symbol/SKBM
CEKA,Barang-Konsumen-Primer,Makanan Olahan,CEKA.JK,https://stockbit.com/symbol/CEKA
NAYZ,Barang-Konsumen-Primer,Makanan Olahan,NAYZ.JK,https://stockbit.com/symbol/NAYZ
YUPI,Barang-Konsumen-Primer,Makanan Olahan,YUPI.JK,https://stockbit.com/symbol/YUPI
BOBA,Barang-Konsumen-Primer,Makanan Olahan,BOBA.JK,https://stockbit.com/symbol/BOBA
SKLT,Barang-Konsumen-Primer,Makanan Olahan,SKLT.JK,https://stockbit.com/symbol/SKLT
BUDI,Barang-Konsumen-Primer,Makanan Olahan,BUDI.JK,https://stockbit.com/symbol/BUDI
PMMP,Barang-Konsumen-Primer,Makanan Olahan,PMMP.JK,https://stockbit.com/symbol/PMMP
FOOD,Barang-Konsumen-Primer,Makanan Olahan,FOOD.JK,https://stockbit.com/symbol/FOOD
STTP,Barang-Konsumen-Primer,Makanan Olahan,STTP.JK,https://stockbit.com/symbol/STTP
TGKA,Barang-Konsumen-Primer,Makanan Olahan,TGKA.JK,https://stockbit.com/symbol/TGKA
TRGU,Barang-Konsumen-Primer,Makanan Olahan,TRGU.JK,https://stockbit.com/symbol/TRGU
FORE,Barang-Konsumen-Primer,Minuman,FORE.JK,https://stockbit.com/symbol/FORE
CLEO,Barang-Konsumen-Primer,Minuman,CLEO.JK,https://stockbit.com/symbol/CLEO
ADES,Barang-Konsumen-Primer,Minuman,ADES.JK,https://stockbit.com/symbol/ADES
GRPM,Barang-Konsumen-Primer,Minuman,GRPM.JK,https://stockbit.com/symbol/GRPM
SOUL,Barang-Konsumen-Primer,Minuman,SOUL.JK,https://stockbit.com/symbol/SOUL
ALTO,Barang-Konsumen-Primer,Minuman,ALTO.JK,https://stockbit.com/symbol/ALTO
AALI,Barang-Konsumen-Primer,Pertanian,AALI.JK,https://stockbit.com/symbol/AALI
LSIP,Barang-Konsumen-Primer,Pertanian,LSIP.JK,https://stockbit.com/symbol/LSIP
GZCO,Barang-Konsumen-Primer,Pertanian,GZCO.JK,https://stockbit.com/symbol/GZCO
BWPT,Barang-Konsumen-Primer,Pertanian,BWPT.JK,https://stockbit.com/symbol/BWPT
TAPG,Barang-Konsumen-Primer,Pertanian,TAPG.JK,https://stockbit.com/symbol/TAPG
JARR,Barang-Konsumen-Primer,Pertanian,JARR.JK,https://stockbit.com/symbol/JARR
SIMP,Barang-Konsumen-Primer,Pertanian,SIMP.JK,https://stockbit.com/symbol/SIMP
OILS,Barang-Konsumen-Primer,Pertanian,OILS.JK,https://stockbit.com/symbol/OILS
DSNG,Barang-Konsumen-Primer,Pertanian,DSNG.JK,https://stockbit.com/symbol/DSNG
SMAR,Barang-Konsumen-Primer,Pertanian,SMAR.JK,https://stockbit.com/symbol/SMAR
NSSS,Barang-Konsumen-Primer,Pertanian,NSSS.JK,https://stockbit.com/symbol/NSSS
SSMS,Barang-Konsumen-Primer,Pertanian,SSMS.JK,https://stockbit.com/symbol/SSMS
PGUN,Barang-Konsumen-Primer,Pertanian,PGUN.JK,https://stockbit.com/symbol/PGUN
BTEK,Barang-Konsumen-Primer,Pertanian,BTEK.JK,https://stockbit.com/symbol/BTEK
PTPS,Barang-Konsumen-Primer,Pertanian,PTPS.JK,https://stockbit.com/symbol/PTPS
SGRO,Barang-Konsumen-Primer,Pertanian,SGRO.JK,https://stockbit.com/symbol/SGRO
UNSP,Barang-Konsumen-Primer,Pertanian,UNSP.JK,https://stockbit.com/symbol/UNSP
JAWA,Barang-Konsumen-Primer,Pertanian,JAWA.JK,https://stockbit.com/symbol/JAWA
ANJT,Barang-Konsumen-Primer,Pertanian,ANJT.JK,https://stockbit.com/symbol/ANJT
STAA,Barang-Konsumen-Primer,Pertanian,STAA.JK,https://stockbit.com/symbol/STAA
CSRA,Barang-Konsumen-Primer,Pertanian,CSRA.JK,https://stockbit.com/symbol/CSRA
WAPO,Barang-Konsumen-Primer,Pertanian,WAPO.JK,https://stockbit.com/symbol/WAPO
ANDI,Barang-Konsumen-Primer,Pertanian,ANDI.JK,https://stockbit.com/symbol/ANDI
BISI,Barang-Konsumen-Primer,Pertanian,BISI.JK,https://stockbit.com/symbol/BISI
TLDN,Barang-Konsumen-Primer,Pertanian,TLDN.JK,https://stockbit.com/symbol/TLDN
PSGO,Barang-Konsumen-Primer,Pertanian,PSGO.JK,https://stockbit.com/symbol/PSGO
MKTR,Barang-Konsumen-Primer,Pertanian,MKTR.JK,https://stockbit.com/symbol/MKTR
PNGO,Barang-Konsumen-Primer,Pertanian,PNGO.JK,https://stockbit.com/symbol/PNGO
FISH,Barang-Konsumen-Primer,Pertanian,FISH.JK,https://stockbit.com/symbol/FISH
GUNA,Barang-Konsumen-Primer,Pertanian,GUNA.JK,https://stockbit.com/symbol/GUNA
MGRO,Barang-Konsumen-Primer,Pertanian,MGRO.JK,https://stockbit.com/symbol/MGRO
CBUT,Barang-Konsumen-Primer,Pertanian,CBUT.JK,https://stockbit.com/symbol/CBUT
FAPA,Barang-Konsumen-Primer,Pertanian,FAPA.JK,https://stockbit.com/symbol/FAPA
IPPE,Barang-Konsumen-Primer,Pertanian,IPPE.JK,https://stockbit.com/symbol/IPPE
MAGP,Barang-Konsumen-Primer,Pertanian,MAGP.JK,https://stockbit.com/symbol/MAGP
GOLL,Barang-Konsumen-Primer,Pertanian,GOLL.JK,https://stockbit.com/symbol/GOLL
ULTJ,Barang-Konsumen-Primer,Produk Susu,ULTJ.JK,https://stockbit.com/symbol/ULTJ
CMRY,Barang-Konsumen-Primer,Produk Susu,CMRY.JK,https://stockbit.com/symbol/CMRY
CAMP,Barang-Konsumen-Primer,Produk Susu,CAMP.JK,https://stockbit.com/symbol/CAMP
KEJU,Barang-Konsumen-Primer,Produk Susu,KEJU.JK,https://stockbit.com/symbol/KEJU
TGUK,Barang-Konsumen-Primer,Produk Susu,TGUK.JK,https://stockbit.com/symbol/TGUK
AMRT,Barang-Konsumen-Primer,Supermarket,AMRT.JK,https://stockbit.com/symbol/AMRT
MLPL,Barang-Konsumen-Primer,Supermarket,MLPL.JK,https://stockbit.com/symbol/MLPL
MPPA,Barang-Konsumen-Primer,Supermarket,MPPA.JK,https://stockbit.com/symbol/MPPA
MIDI,Barang-Konsumen-Primer,Supermarket,MIDI.JK,https://stockbit.com/symbol/MIDI
LAPD,Barang-Konsumen-Primer,Supermarket,LAPD.JK,https://stockbit.com/symbol/LAPD
RANC,Barang-Konsumen-Primer,Supermarket,RANC.JK,https://stockbit.com/symbol/RANC
HERO,Barang-Konsumen-Primer,Supermarket,HERO.JK,https://stockbit.com/symbol/HERO
JECX,Kesehatan,Rumah Sakit,JECX.JK,https://stockbit.com/symbol/JECX
DKHH,Kesehatan,Rumah Sakit,DKHH.JK,https://stockbit.com/symbol/DKHH
MIKA,Kesehatan,Rumah Sakit,MIKA.JK,https://stockbit.com/symbol/MIKA
SILO,Kesehatan,Rumah Sakit,SILO.JK,https://stockbit.com/symbol/SILO
HEAL,Kesehatan,Rumah Sakit,HEAL.JK,https://stockbit.com/symbol/HEAL
PRIM,Kesehatan,Rumah Sakit,PRIM.JK,https://stockbit.com/symbol/PRIM
SAME,Kesehatan,Rumah Sakit,SAME.JK,https://stockbit.com/symbol/SAME
PRDA,Kesehatan,Rumah Sakit,PRDA.JK,https://stockbit.com/symbol/PRDA
DGNS,Kesehatan,Rumah Sakit,DGNS.JK,https://stockbit.com/symbol/DGNS
CARE,Kesehatan,Rumah Sakit,CARE.JK,https://stockbit.com/symbol/CARE
BMHS,Kesehatan,Rumah Sakit,BMHS.JK,https://stockbit.com/symbol/BMHS
SRAJ,Kesehatan,Rumah Sakit,SRAJ.JK,https://stockbit.com/symbol/SRAJ
RSCH,Kesehatan,Rumah Sakit,RSCH.JK,https://stockbit.com/symbol/RSCH
MTMH,Kesehatan,Rumah Sakit,MTMH.JK,https://stockbit.com/symbol/MTMH
PRAY,Kesehatan,Rumah Sakit,PRAY.JK,https://stockbit.com/symbol/PRAY
RSGK,Kesehatan,Rumah Sakit,RSGK.JK,https://stockbit.com/symbol/RSGK
PRDL,Kesehatan,Alat Kesehatan,PRDL.JK,https://stockbit.com/symbol/PRDL
MEDS,Kesehatan,Alat Kesehatan,MEDS.JK,https://stockbit.com/symbol/MEDS
HALO,Kesehatan,Alat Kesehatan,HALO.JK,https://stockbit.com/symbol/HALO
SURI,Kesehatan,Alat Kesehatan,SURI.JK,https://stockbit.com/symbol/SURI
CHEK,Kesehatan,Alat Kesehatan,CHEK.JK,https://stockbit.com/symbol/CHEK
IRRA,Kesehatan,Alat Kesehatan,IRRA.JK,https://stockbit.com/symbol/IRRA
MMIX,Kesehatan,Alat Kesehatan,MMIX.JK,https://stockbit.com/symbol/MMIX
OMED,Kesehatan,Alat Kesehatan,OMED.JK,https://stockbit.com/symbol/OMED
LABS,Kesehatan,Alat Kesehatan,LABS.JK,https://stockbit.com/symbol/LABS
KLBF,Kesehatan,Farmasi,KLBF.JK,https://stockbit.com/symbol/KLBF
SIDO,Kesehatan,Farmasi,SIDO.JK,https://stockbit.com/symbol/SIDO
KAEF,Kesehatan,Farmasi,KAEF.JK,https://stockbit.com/symbol/KAEF
PYFA,Kesehatan,Farmasi,PYFA.JK,https://stockbit.com/symbol/PYFA
TSPC,Kesehatan,Farmasi,TSPC.JK,https://stockbit.com/symbol/TSPC
INAF,Kesehatan,Farmasi,INAF.JK,https://stockbit.com/symbol/INAF
SOHO,Kesehatan,Farmasi,SOHO.JK,https://stockbit.com/symbol/SOHO
MDLA,Kesehatan,Farmasi,MDLA.JK,https://stockbit.com/symbol/MDLA
OBAT,Kesehatan,Farmasi,OBAT.JK,https://stockbit.com/symbol/OBAT
PEHA,Kesehatan,Farmasi,PEHA.JK,https://stockbit.com/symbol/PEHA
MERK,Kesehatan,Farmasi,MERK.JK,https://stockbit.com/symbol/MERK
DVLA,Kesehatan,Farmasi,DVLA.JK,https://stockbit.com/symbol/DVLA
PEVE,Kesehatan,Farmasi,PEVE.JK,https://stockbit.com/symbol/PEVE
IKPM,Kesehatan,Farmasi,IKPM.JK,https://stockbit.com/symbol/IKPM
SCPI,Kesehatan,Farmasi,SCPI.JK,https://stockbit.com/symbol/SCPI
EMMI,Kesehatan,Peralatan Kesehatan,EMMI.JK,https://stockbit.com/symbol/EMMI
SWAP,Kesehatan,Peralatan Kesehatan,SWAP.JK,https://stockbit.com/symbol/SWAP
AHAP,Keuangan,Asuransi Umum,AHAP.JK,https://stockbit.com/symbol/AHAP
TUGU,Keuangan,Asuransi Umum,TUGU.JK,https://stockbit.com/symbol/TUGU
YOII,Keuangan,Asuransi Umum,YOII.JK,https://stockbit.com/symbol/YOII
PNIN,Keuangan,Asuransi Umum,PNIN.JK,https://stockbit.com/symbol/PNIN
VINS,Keuangan,Asuransi Umum,VINS.JK,https://stockbit.com/symbol/VINS
LPGI,Keuangan,Asuransi Umum,LPGI.JK,https://stockbit.com/symbol/LPGI
ASMI,Keuangan,Asuransi Umum,ASMI.JK,https://stockbit.com/symbol/ASMI
MTWI,Keuangan,Asuransi Umum,MTWI.JK,https://stockbit.com/symbol/MTWI
AMAG,Keuangan,Asuransi Umum,AMAG.JK,https://stockbit.com/symbol/AMAG
ASJT,Keuangan,Asuransi Umum,ASJT.JK,https://stockbit.com/symbol/ASJT
ASDM,Keuangan,Asuransi Umum,ASDM.JK,https://stockbit.com/symbol/ASDM
ASRM,Keuangan,Asuransi Umum,ASRM.JK,https://stockbit.com/symbol/ASRM
ASBI,Keuangan,Asuransi Umum,ASBI.JK,https://stockbit.com/symbol/ASBI
ABDA,Keuangan,Asuransi Umum,ABDA.JK,https://stockbit.com/symbol/ABDA
COIN,Keuangan,Holding Keuangan,COIN.JK,https://stockbit.com/symbol/COIN
BCAP,Keuangan,Holding Keuangan,BCAP.JK,https://stockbit.com/symbol/BCAP
PEGE,Keuangan,Holding Keuangan,PEGE.JK,https://stockbit.com/symbol/PEGE
GSMF,Keuangan,Holding Keuangan,GSMF.JK,https://stockbit.com/symbol/GSMF
SMMA,Keuangan,Holding Keuangan,SMMA.JK,https://stockbit.com/symbol/SMMA
STAR,Keuangan,Holding Keuangan,STAR.JK,https://stockbit.com/symbol/STAR
VICO,Keuangan,Holding Keuangan,VICO.JK,https://stockbit.com/symbol/VICO
APIC,Keuangan,Holding Keuangan,APIC.JK,https://stockbit.com/symbol/APIC
CASA,Keuangan,Holding Keuangan,CASA.JK,https://stockbit.com/symbol/CASA
BPII,Keuangan,Holding Keuangan,BPII.JK,https://stockbit.com/symbol/BPII
SFAN,Keuangan,Holding Keuangan,SFAN.JK,https://stockbit.com/symbol/SFAN
POOL,Keuangan,Holding Keuangan,POOL.JK,https://stockbit.com/symbol/POOL
OCAP,Keuangan,Holding Keuangan,OCAP.JK,https://stockbit.com/symbol/OCAP
PLAS,Keuangan,Holding Keuangan,PLAS.JK,https://stockbit.com/symbol/PLAS
AMOR,Keuangan,Manajer Investasi,AMOR.JK,https://stockbit.com/symbol/AMOR
PNLF,Keuangan,Asuransi Jiwa,PNLF.JK,https://stockbit.com/symbol/PNLF
JMAS,Keuangan,Asuransi Jiwa,JMAS.JK,https://stockbit.com/symbol/JMAS
LIFE,Keuangan,Asuransi Jiwa,LIFE.JK,https://stockbit.com/symbol/LIFE
BHAT,Keuangan,Asuransi Jiwa,BHAT.JK,https://stockbit.com/symbol/BHAT
BFIN,Keuangan,Financing,BFIN.JK,https://stockbit.com/symbol/BFIN
CFIN,Keuangan,Financing,CFIN.JK,https://stockbit.com/symbol/CFIN
ADMF,Keuangan,Financing,ADMF.JK,https://stockbit.com/symbol/ADMF
POLA,Keuangan,Financing,POLA.JK,https://stockbit.com/symbol/POLA
WOMF,Keuangan,Financing,WOMF.JK,https://stockbit.com/symbol/WOMF
VTNY,Keuangan,Financing,VTNY.JK,https://stockbit.com/symbol/VTNY
FUJI,Keuangan,Financing,FUJI.JK,https://stockbit.com/symbol/FUJI
HDFA,Keuangan,Financing,HDFA.JK,https://stockbit.com/symbol/HDFA
VRNA,Keuangan,Financing,VRNA.JK,https://stockbit.com/symbol/VRNA
TIFA,Keuangan,Financing,TIFA.JK,https://stockbit.com/symbol/TIFA
TRUS,Keuangan,Financing,TRUS.JK,https://stockbit.com/symbol/TRUS
BBLD,Keuangan,Financing,BBLD.JK,https://stockbit.com/symbol/BBLD
BPFI,Keuangan,Financing,BPFI.JK,https://stockbit.com/symbol/BPFI
SRTG,Keuangan,Perusahaan Investasi,SRTG.JK,https://stockbit.com/symbol/SRTG
DEFI,Keuangan,Perusahaan Investasi,DEFI.JK,https://stockbit.com/symbol/DEFI
PALM,Keuangan,Perusahaan Investasi,PALM.JK,https://stockbit.com/symbol/PALM
DNET,Keuangan,Perusahaan Investasi,DNET.JK,https://stockbit.com/symbol/DNET
LPPS,Keuangan,Perusahaan Investasi,LPPS.JK,https://stockbit.com/symbol/LPPS
NICK,Keuangan,Perusahaan Investasi,NICK.JK,https://stockbit.com/symbol/NICK
BBCA,Keuangan,Bank,BBCA.JK,https://stockbit.com/symbol/BBCA
BBRI,Keuangan,Bank,BBRI.JK,https://stockbit.com/symbol/BBRI
BMRI,Keuangan,Bank,BMRI.JK,https://stockbit.com/symbol/BMRI
BBNI,Keuangan,Bank,BBNI.JK,https://stockbit.com/symbol/BBNI
BRIS,Keuangan,Bank,BRIS.JK,https://stockbit.com/symbol/BRIS
SUPA,Keuangan,Bank,SUPA.JK,https://stockbit.com/symbol/SUPA
BBTN,Keuangan,Bank,BBTN.JK,https://stockbit.com/symbol/BBTN
ARTO,Keuangan,Bank,ARTO.JK,https://stockbit.com/symbol/ARTO
BBYB,Keuangan,Bank,BBYB.JK,https://stockbit.com/symbol/BBYB
BNGA,Keuangan,Bank,BNGA.JK,https://stockbit.com/symbol/BNGA
BBKP,Keuangan,Bank,BBKP.JK,https://stockbit.com/symbol/BBKP
BTPS,Keuangan,Bank,BTPS.JK,https://stockbit.com/symbol/BTPS
BJTM,Keuangan,Bank,BJTM.JK,https://stockbit.com/symbol/BJTM
AGRO,Keuangan,Bank,AGRO.JK,https://stockbit.com/symbol/AGRO
NISP,Keuangan,Bank,NISP.JK,https://stockbit.com/symbol/NISP
BJBR,Keuangan,Bank,BJBR.JK,https://stockbit.com/symbol/BJBR
INPC,Keuangan,Bank,INPC.JK,https://stockbit.com/symbol/INPC
BDMN,Keuangan,Bank,BDMN.JK,https://stockbit.com/symbol/BDMN
BBHI,Keuangan,Bank,BBHI.JK,https://stockbit.com/symbol/BBHI
BGTG,Keuangan,Bank,BGTG.JK,https://stockbit.com/symbol/BGTG
BABP,Keuangan,Bank,BABP.JK,https://stockbit.com/symbol/BABP
PNBS,Keuangan,Bank,PNBS.JK,https://stockbit.com/symbol/PNBS
BANK,Keuangan,Bank,BANK.JK,https://stockbit.com/symbol/BANK
BACA,Keuangan,Bank,BACA.JK,https://stockbit.com/symbol/BACA
MEGA,Keuangan,Bank,MEGA.JK,https://stockbit.com/symbol/MEGA
BNLI,Keuangan,Bank,BNLI.JK,https://stockbit.com/symbol/BNLI
BNII,Keuangan,Bank,BNII.JK,https://stockbit.com/symbol/BNII
PNBN,Keuangan,Bank,PNBN.JK,https://stockbit.com/symbol/PNBN
BSIM,Keuangan,Bank,BSIM.JK,https://stockbit.com/symbol/BSIM
NOBU,Keuangan,Bank,NOBU.JK,https://stockbit.com/symbol/NOBU
BVIC,Keuangan,Bank,BVIC.JK,https://stockbit.com/symbol/BVIC
MAYA,Keuangan,Bank,MAYA.JK,https://stockbit.com/symbol/MAYA
DNAR,Keuangan,Bank,DNAR.JK,https://stockbit.com/symbol/DNAR
BTPN,Keuangan,Bank,BTPN.JK,https://stockbit.com/symbol/BTPN
BEKS,Keuangan,Bank,BEKS.JK,https://stockbit.com/symbol/BEKS
BNBA,Keuangan,Bank,BNBA.JK,https://stockbit.com/symbol/BNBA
AGRS,Keuangan,Bank,AGRS.JK,https://stockbit.com/symbol/AGRS
AMAR,Keuangan,Bank,AMAR.JK,https://stockbit.com/symbol/AMAR
MCOR,Keuangan,Bank,MCOR.JK,https://stockbit.com/symbol/MCOR
BCIC,Keuangan,Bank,BCIC.JK,https://stockbit.com/symbol/BCIC
BKSW,Keuangan,Bank,BKSW.JK,https://stockbit.com/symbol/BKSW
BINA,Keuangan,Bank,BINA.JK,https://stockbit.com/symbol/BINA
BBSI,Keuangan,Bank,BBSI.JK,https://stockbit.com/symbol/BBSI
SDRA,Keuangan,Bank,SDRA.JK,https://stockbit.com/symbol/SDRA
BMAS,Keuangan,Bank,BMAS.JK,https://stockbit.com/symbol/BMAS
MASB,Keuangan,Bank,MASB.JK,https://stockbit.com/symbol/MASB
BBMD,Keuangan,Bank,BBMD.JK,https://stockbit.com/symbol/BBMD
BSWD,Keuangan,Bank,BSWD.JK,https://stockbit.com/symbol/BSWD
MREI,Keuangan,Reasuransi,MREI.JK,https://stockbit.com/symbol/MREI
PADI,Keuangan,Bank Investasi Sekuritas,PADI.JK,https://stockbit.com/symbol/PADI
TRIM,Keuangan,Bank Investasi Sekuritas,TRIM.JK,https://stockbit.com/symbol/TRIM
PANS,Keuangan,Bank Investasi Sekuritas,PANS.JK,https://stockbit.com/symbol/PANS
RELI,Keuangan,Bank Investasi Sekuritas,RELI.JK,https://stockbit.com/symbol/RELI
YULE,Keuangan,Bank Investasi Sekuritas,YULE.JK,https://stockbit.com/symbol/YULE
GJTL,Barang-Konsumen-NonPrimer,Ban,GJTL.JK,https://stockbit.com/symbol/GJTL
GDYR,Barang-Konsumen-NonPrimer,Ban,GDYR.JK,https://stockbit.com/symbol/GDYR
TYRE,Barang-Konsumen-NonPrimer,Ban,TYRE.JK,https://stockbit.com/symbol/TYRE
BRAM,Barang-Konsumen-NonPrimer,Ban,BRAM.JK,https://stockbit.com/symbol/BRAM
UNTD,Barang-Konsumen-NonPrimer,Olah Raga Hobi,UNTD.JK,https://stockbit.com/symbol/UNTD
BIKE,Barang-Konsumen-NonPrimer,Olah Raga Hobi,BIKE.JK,https://stockbit.com/symbol/BIKE
TOYS,Barang-Konsumen-NonPrimer,Olah Raga Hobi,TOYS.JK,https://stockbit.com/symbol/TOYS
IIKP,Barang-Konsumen-NonPrimer,Olah Raga Hobi,IIKP.JK,https://stockbit.com/symbol/IIKP
